"","company.name","company.code"
"331","METALFRIO SOLUTIONS S/A",20613
"332","CAFE SOLUVEL BRASILIA SA",2062
"333","FERTILIZANTES HERINGER SA",20621
"334","CR2 EMPREENDIMENTOS IMOBILIÁRIOS S/A",20630
"335","CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA",20648
"336","BEMATECH  S/A",20656
"337","BRC SECURITIZADORA SA",20672
"338","BANCO SOFISA SA",20680
"339","VIVER INCORP. E CONSTRUTORA S.A.- EM RECUPERAÇÃO JUDICIAL",20702
"340","LOG-IN LOGISTICA INTERMODAL SA",20710
"341","PARANA BANCO S.A.",20729
"342","SLC AGRICOLA SA",20745
"343","MASSA FALIDA DO BANCO CRUZEIRO DO SUL S/A",20753
"344","EZ TEC EMPREEND. E PARTICIPAÇÕES S/A",20770
"345","MARFRIG GLOBAL FOODS SA",20788
"346","BANCO DAYCOVAL S.A.",20796
"347","TEGMA GESTÃO LOGÍSTICA SA",20800
"348","ISEC SECURITIZADORA S.A.",20818
"349","SETIBA PARTICIPAÇÕES S/A",20834
"350","MAGNESITA REFRATARIOS S.A.",20842
"351","ALLIS PARTICIPAÇÕES S.A.",20850
"352","HELBOR EMPREENDIMENTOS S/A",20877
"353","BANCO INDUSVAL S.A.",20885
"354","REDECARD S/A",20893
"355","BHG S.A. - BRAZIL HOSPITALITY GROUP",20907
"356","MRV ENGENHARIA E PARTICIPAÇÕES S/A",20915
"357","MINERVA S/A",20931
"358","BANCO ABC BRASIL S/A",20958
"359","SPRINGS GLOBAL PARTICIPAÇÕES S/A",20966
"360","COMPANHIA PROVIDENCIA IND E COMERCIO",20974
"361","MULTIPLAN EMP. IMOBILIARIOS S/A",20982
"362","B2W - COMPANHIA DIGITAL",20990
"363","CAMBUCI SA",2100
"364","GENERAL SHOPPING BRASIL SA",21008
"365","ESTACIO PARTICIPAÇÕES SA",21016
"366","CONCESSIONARIA DE RODOVIAS DO OESTE DE SP-VIA OESTE SA",21024
"367","ALGAR TELECOM S/A",21032
"368","CYRELA COMMERCIAL PROPERTIES SA EMP  PART",21040
"369","MATONE SECURITIZADORA S/A",21059
"370","MOURA DUBEUX ENGENHARIA S/A",21067
"371","VISION SECURITIZADORA",21075
"372","DURATEX S.A.",21091
"373","NOVA SECURITIZAÇÃO S/A",21105
"374","CHINA CONSTRUCTION BANK(BRASIL) BANCO MÚLTIPLO S.A.",21113
"375","SUL AMERICA S/A",21121
"376","TRISUL S/A",21130
"377","CONSTRUTORA TENDA S/A",21148
"378","J.MACEDO S/A",21156
"379","AMIL PARTICIPAÇÕES S/A",21172
"380","BRASIL BROKERS PARTICIPAÇÕES SA",21180
"381","BANCO PAN SA",21199
"382","ENEVA S.A.",21237
"383","CENTENNIAL ASSET PARTICIPAÇÕES AÇU SA",21245
"384","MOENA PARTICIPAÇÕES S/A",NA
"385","MONTICIANO PARTICIPAÇÕES S/A",21261
"386","ALIANSCE SHOPPING CENTERS S/A",21300
"387","NUTRIPLANT INDUSTRIA E COMÉRCIO S/A",21334
"388","OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL",21342
"389","DIRECIONAL ENGENHARIA SA",21350
"390","COMPANHIA CELG DE PARTICIPAÇÕES",21393
"391","BRZ INVESTIMENTOS S/A",21415
"392","HYPERA S/A",21431
"393","RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS SA",21440
"394","PRUMO LOGÍSTICA S.A.",21482
"395","ALUPAR INVESTIMENTO S/A",21490
"396","ÁQUILLA SECURITIZADORA SA",21512
"397","UNIDAS S/A",21555
"398","BERNA PARTICIPAÇÕES SA",21563
"399","BALADARE PARTICIPAÇÕES S/A",NA
"400","BRT HOLDING 1 SA",21580
"401","COPACABANA PRINCE PARTICIPAÇÕES S.A.",21598
"402","BASEL PARTICIPAÇÕES S/A",21601
"403","B3 S.A. - BRASIL, BOLSA, BALCÃO",21610
"404","HABITASEC SECURITIZADORA SA",21628
"405","RENOVA ENERGIA S/A",21636
"406","PDG COMPANHIA SECURITIZADORA - EM RECUPERAÇÃO JUDICIAL",21644
"407","CTX PARTICIPAÇÕES S/A - EM LIQUIDAÇÃO",21652
"408","INVITEL LEGACY SA",21687
"409","TARPON INVESTIMENTOS S/A",21717
"410","ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.",21725
"411","CIELO S.A.",21733
"412","ECO. SEC. DTOS. CREDIT. AGRONEGÓCIOS S/A",21741
"413","INFRASEC SECURITIZADORA S/A",21750
"414","PORTX OPERAÇÕES PORTUÁRIAS S.A.",21776
"415","EBX BRASIL SA",21784
"416","CETIP S.A. - MERCADOS ORGANIZADOS",21792
"417","AUTOVIAS S/A",21822
"418","CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A",21849
"419","CENTROVIAS-SISTEMAS RODOVIARIOS S/A",21857
"420","BRAZAL - BRASIL ALIMENTOS S.A.",21865
"421","FLEURY SA",21881
"422","ECORODOVIAS CONCESSÕES E SERVIÇOS S/A",21903
"423","AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA",NA
"424","BARIGUI SECURITIZADORA SA",21920
"425","MULTIPLUS SA",21946
"426","AUTOPISTA PLANALTO SUL SA",21970
"427","AUTOPISTA FERNÃO DIAS SA",21989
"428","MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S/A",22012
"429","JSL S.A.",22020
"430","BOLERO PARTICIPAÇÕES SA",22039
"431","DUXXI IMOBILIÁRIA S.A.",22047
"432","MARISA LOJAS SA",22055
"433","CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A",22071
"434","COMPANHIA PAULISTA DE SECURITIZAÇÃO",22080
"435","REDENTOR ENERGIA S/A",22128
"436","TEREOS INTERNACIONAL S/A",22136
"437","CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO SA",22144
"438","POLO CAPITAL SECURITIZADORA S/A",22160
"439","AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A",22179
"440","PETRO RIO S.A.",22187
"441","BR INSURANCE CORRETORA DE SEGUROS S.A.",22217
"442","BRASIL PLURAL SECURITIZADORA S.A.",22233
"443","KAROON PETROLEO & GAS SA",22241
"444","OURINVEST SECURITIZADORA S.A.",22250
"445","CONCESSIONARIA AUTO RAPOSO TAVARES SA-CART",22268
"446","ÁPICE SECURITIZADORA S.A.",22276
"447","MCM CIMENTOS S.A.",22284
"448","STEIN SP II PARTICIPAÇÕES S.A.",22292
"449","RAIA SA",22306
"450","RJ CAPITAL PARTNERS S.A.",22330
"451","AREZZO INDÚSTRIA E COMERCIO S/A",22349
"452","SONAE SIERRA BRASIL S/A",22357
"453","QGEP PARTICIPAÇÕES SA",22365
"454","AUTOMETAL S/A",22381
"455","OCTANTE SECURITIZADORA SA",22390
"456","IGUA SANEAMENTO S.A.",23175
"457","CONCESSIONÁRIA DAS RODOVIAS AYRTON SENNA E CARVALHO PINTO S/A-ECOPISTAS",22411
"458","TRX SECURITIZADORA S.A.",22420
"459","INTERNATIONAL MEAL COMPANY HOLDINGS, SA",22438
"460","T4F ENTRETENIMENTO SA",22454
"461","MAGAZINE LUIZA SA",22470
"462","FORTE SECURITIZADORA S.A.",22489
"463","QUALICORP SA",22497
"464","BRASIL PHARMA SA",22500
"465","TECHNOS SA",22519
"466","PERENCO PETRÓLEO E GÁS DO BRASIL PARTICIPAÇÕES S/A",22527
"467","COPERSUCAR SA",22535
"468","VIARONDON CONCESSIONÁRIA DE RODOVIA SA",22543
"469","SOMOS EDUCAÇÃO S.A.",22551
"470","INBRANDS SA",22560
"471","HARPIA ÔMEGA PARTICIPAÇÕES S.A.",22578
"472","MLOG S.A.",22586
"473","STATKRAFT ENERGIAS RENOVÁVEIS S.A.",22594
"474","EMPREENDIMENTOS PAGUE MENOS SA",22608
"475","BANCO BTG PACTUAL S/A",22616
"476","BELEZA PARTICIPAÇÕES SA",22632
"477","NISA PARTICIPAÇÕES SA",22640
"478","NOAH PARTICIPAÇÕES SA",22659
"479","NAOMI PARTICIPAÇÕES SA",22667
"480","HIDROVIAS DO BRASIL S.A.",22675
"481","CACHOEIRA PAULISTA TRANSMISSORA DE ENERGIA SA",22683
"482","COMPANHIA DE LOCAÇÃO DAS AMERICAS",22691
"483","BRASIL TRAVEL TURISMO E PARTICIPAÇÕES S/A",22705
"484","CONCESSIONARIA RODOVIAS TIETE SA",22721
"485","GAIA AGRO SECURITIZADORA S.A.",22764
"486","VIGOR ALIMENTOS S.A.",22772
"487","UNICASA INDÚSTRIA DE MÓVEIS S.A.",22780
"488","SENIOR SOLUTION S.A.",22799
"489","REIT SECURITIZADORA DE RECEBIVEIS IMOBILIÁRIOS S/A",22802
"490","BIOSEV S.A.",22845
"491","FRIGOL FOODS PARTICIPAÇÕES S.A.",22853
"492","MBK SECURITIZADORA S/A",22861
"493","MGI - MINAS GERAIS PARTICIPAÇÕES S.A.",22942
"494","AR CAPITAL SECURITIES COMPANHIA SECURITIZADORA S.A.",22950
"495","FERREIRA GOMES ENERGIA S.A.",22977
