"","Codigo","Companhia","Ano","APC"
"320",90,"ENERGISA SA","2012",4368045
"321",90,"ENERGISA SA","2011",4368045
"322",90,"ENERGISA SA","2010",4368045
"323",95,"FERROVIA CENTRO ATLANTICA SA","2017",20
"324",95,"FERROVIA CENTRO ATLANTICA SA","2016",40992745
"325",98,"ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.","2011",38050526
"326",99,"BATTISTELLA ADM E PARTICIPAÇÕES S A","2016",125148
"327",101,"BAUMER SA","2017",4210
"328",101,"BAUMER SA","2016",2180950
"329",101,"BAUMER SA","2015",2710240
"330",101,"BAUMER SA","2014",2180950
"331",101,"BAUMER SA","2013",2180950
"332",101,"BAUMER SA","2012",2179950
"333",101,"BAUMER SA","2011",1923306
"334",101,"BAUMER SA","2010",349036
"335",103,"GRUÇAI PARTICIPAÇÕES SA","2010",1
"336",104,"EXCELSIOR ALIMENTOS SA.","2016",0
"337",104,"EXCELSIOR ALIMENTOS SA.","2015",0
"338",104,"EXCELSIOR ALIMENTOS SA.","2014",2223
"339",104,"EXCELSIOR ALIMENTOS SA.","2013",0
"340",104,"EXCELSIOR ALIMENTOS SA.","2012",0
"341",104,"EXCELSIOR ALIMENTOS SA.","2011",0
"342",104,"EXCELSIOR ALIMENTOS SA.","2010",0
"343",108,"ITAITINGA PARTICIPACOES SA","2010",1
"344",109,"GAFISA SA","2017",18060
"345",109,"GAFISA SA","2016",168698
"346",109,"GAFISA SA","2015",194573
"347",109,"GAFISA SA","2014",715737
"348",109,"GAFISA SA","2013",2179049
"349",109,"GAFISA SA","2012",2362158
"350",109,"GAFISA SA","2011",3560122
"351",110,"AMERICEL SA","2010",0
"352",112,"VALETRON SA","2014",629
"353",112,"VALETRON SA","2013",629
"354",112,"VALETRON SA","2012",544
"355",112,"VALETRON SA","2011",507
"356",112,"VALETRON SA","2010",505
"357",113,"BELAPART SA","2015",1298
"358",113,"BELAPART SA","2014",1298
"359",113,"BELAPART SA","2013",629
"360",113,"BELAPART SA","2012",544
"361",113,"BELAPART SA","2011",507
