"","Codigo","Companhia","Ano","Remuneração.Média"
"255",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2016",2275250
"256",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2015",2336400
"257",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2014",1428238.0952381
"258",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2013",2310714.28571429
"259",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2012",2121428.57142857
"260",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2011",1578328.57142857
"261",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2010",1246428.57142857
"262",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2017",334462.7
"263",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2016",313715.2
"264",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2015",301306.7
"265",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2014",332225.845
"266",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2013",301573.65
"267",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2012",293514.785
"268",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2011",313852.44
"269",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2010",288305.54
"270",43,"ÉVORA S.A.","2015",3683608.25
"271",43,"ÉVORA S.A.","2014",3587044.25
"272",43,"ÉVORA S.A.","2013",812500
"273",43,"ÉVORA S.A.","2012",308797.837142857
"274",43,"ÉVORA S.A.","2011",268174.857142857
"275",43,"ÉVORA S.A.","2010",114825
"276",44,"METALURGICA RIOSULENSE SA","2017",886816
"277",44,"METALURGICA RIOSULENSE SA","2016",846816
"278",44,"METALURGICA RIOSULENSE SA","2015",1601992.1
"279",44,"METALURGICA RIOSULENSE SA","2014",1344911.03333333
"280",44,"METALURGICA RIOSULENSE SA","2013",1349194.235
"281",44,"METALURGICA RIOSULENSE SA","2012",1156073.14
"282",44,"METALURGICA RIOSULENSE SA","2011",1175000
"283",44,"METALURGICA RIOSULENSE SA","2010",1175000
"284",45,"POLPAR S.A.","2017",0
"285",45,"POLPAR S.A.","2016",0
"286",45,"POLPAR S.A.","2015",0
"287",45,"POLPAR S.A.","2014",0
"288",45,"POLPAR S.A.","2013",0
"289",45,"POLPAR S.A.","2012",0
"290",45,"POLPAR S.A.","2011",0
"291",45,"POLPAR S.A.","2010",0
"292",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2017",254564.273333333
"293",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2016",228491.5775
"294",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2015",241612.746666667
"295",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2014",211898.090833333
"296",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2013",194290.416666667
"297",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2012",157875.633333333
"298",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2011",161351.613333333
"299",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2010",163783.733333333
"300",47,"MINUPAR PARTICIPACOES SA","2017",62500
"301",47,"MINUPAR PARTICIPACOES SA","2016",62500
"302",47,"MINUPAR PARTICIPACOES SA","2015",34245.98
"303",47,"MINUPAR PARTICIPACOES SA","2014",67605.4103126899
"304",47,"MINUPAR PARTICIPACOES SA","2013",177692.01313388
"305",47,"MINUPAR PARTICIPACOES SA","2012",90000
"306",47,"MINUPAR PARTICIPACOES SA","2011",383333.333333333
"307",47,"MINUPAR PARTICIPACOES SA","2010",121854.748603352
"308",48,"PBG S/A","2017",2579662.33333333
"309",48,"PBG S/A","2016",2865797.80952381
"310",48,"PBG S/A","2015",2454828.72222222
"311",48,"PBG S/A","2014",3164243.52777778
"312",48,"PBG S/A","2013",2918038
"313",48,"PBG S/A","2012",2572000
"314",48,"PBG S/A","2011",654666.666666667
"315",48,"PBG S/A","2010",1077972.22222222
"316",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2017",5299888.88888889
"317",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2016",5083184.28571429
"318",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2015",4299839.21428571
"319",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2014",4509564.85714286
"320",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2013",6428571.42857143
"321",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2012",5588214.28571429
"322",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2011",2773033.4335
"323",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2010",1996574.62
"324",50,"BANCO ALFA DE INVESTIMENTO SA","2017",2890861.17619048
"325",50,"BANCO ALFA DE INVESTIMENTO SA","2016",2882501.23333333
"326",50,"BANCO ALFA DE INVESTIMENTO SA","2015",2567930.10833333
"327",50,"BANCO ALFA DE INVESTIMENTO SA","2014",2337999.32916667
"328",50,"BANCO ALFA DE INVESTIMENTO SA","2013",2291378.7545
"329",50,"BANCO ALFA DE INVESTIMENTO SA","2012",1809474.15591667
"330",50,"BANCO ALFA DE INVESTIMENTO SA","2011",1807252.2
"331",50,"BANCO ALFA DE INVESTIMENTO SA","2010",1581935.86666667
"332",52,"SUZANO PAPEL E CELULOSE SA","2017",7516435.08458333
"333",52,"SUZANO PAPEL E CELULOSE SA","2016",6554072.71015873
"334",52,"SUZANO PAPEL E CELULOSE SA","2015",7158263.97666667
"335",52,"SUZANO PAPEL E CELULOSE SA","2014",6296628.76944444
"336",52,"SUZANO PAPEL E CELULOSE SA","2013",7559577.15777778
"337",52,"SUZANO PAPEL E CELULOSE SA","2012",5613220.44444444
"338",52,"SUZANO PAPEL E CELULOSE SA","2011",5532024.88888889
"339",52,"SUZANO PAPEL E CELULOSE SA","2010",4642214.73611111
"340",53,"YARA BRASIL FERTILIZANTES","2010",718353.195
"341",54,"VALE FERTILIZANTES S.A.","2010",710000
"342",55,"BFB LEASING S.A. ARRENDAMENTO MERCANTIL","2010",0
"343",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2017",2900208.12533333
"344",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2016",3882811.948
"345",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2015",3078044.98171429
"346",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2014",3760079.69
"347",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2013",2899284.8665
"348",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2012",3172057.1445
"349",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2011",3134835.4895
"350",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2010",2522181.33333333
"351",57,"TEC TOY S/A","2017",18759300
"352",57,"TEC TOY S/A","2016",18007500
"353",57,"TEC TOY S/A","2015",18007500
"354",57,"TEC TOY S/A","2014",158928
"355",57,"TEC TOY S/A","2013",375622.666666667
"356",57,"TEC TOY S/A","2012",675391
"357",57,"TEC TOY S/A","2011",642623.25
"358",57,"TEC TOY S/A","2010",8e+05
"359",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2017",2326498.55813953
"360",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2016",2736159
"361",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2015",2451638.98451178
"362",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2014",1861469.2487013
"363",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2013",2014020.97402597
"364",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2012",1716976.29545455
"365",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2011",2126177.99877899
"366",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2010",1849718
"367",59,"BRB-BANCO DE BRASILIA SA","2017",900607.07475
"368",59,"BRB-BANCO DE BRASILIA SA","2016",900607.07475
"369",59,"BRB-BANCO DE BRASILIA SA","2015",818733.32875
"370",59,"BRB-BANCO DE BRASILIA SA","2014",1476219.254
"371",59,"BRB-BANCO DE BRASILIA SA","2013",964538.727542993
"372",59,"BRB-BANCO DE BRASILIA SA","2012",985273.304583333
"373",59,"BRB-BANCO DE BRASILIA SA","2011",649955.495751673
"374",59,"BRB-BANCO DE BRASILIA SA","2010",454858.436666667
"375",60,"DIBENS LEASING S.A.- ARREND. MERCANTIL","2015",0
"376",60,"DIBENS LEASING S.A.- ARREND. MERCANTIL","2014",0
