"","Codigo","Companhia","Ano","Management.Council","Statutory.Directors","Fiscal.Council"
"161",26,"BOMBRIL SA","2016",0,0,0
"162",26,"BOMBRIL SA","2015",0,25.08,0
"163",26,"BOMBRIL SA","2014",0,26.31,0
"164",26,"BOMBRIL SA","2013",0,25.48,0
"165",26,"BOMBRIL SA","2012",0,7.47,0
"166",26,"BOMBRIL SA","2011",0,27.71,0
"167",26,"BOMBRIL SA","2010",0,0,0
"168",27,"COSTA PINTO S.A.","2012",0,0,0
"169",27,"COSTA PINTO S.A.","2011",0,40.48,0
"170",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2016",0,34.74,0
"171",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2015",0,24.55,0
"172",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2014",0,22.2,0
"173",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2013",0,11.86,0
"174",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2012",0,27.77,0
"175",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2011",0,0,0
"176",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2010",0,9.84,0
"177",29,"BANCO DO NORDESTE DO BRASIL SA","2017",0,10.14,0
"178",29,"BANCO DO NORDESTE DO BRASIL SA","2016",0,11.8,0
"179",29,"BANCO DO NORDESTE DO BRASIL SA","2015",0,0,0
"180",29,"BANCO DO NORDESTE DO BRASIL SA","2014",0,0,0
"181",29,"BANCO DO NORDESTE DO BRASIL SA","2013",0,0,0
"182",29,"BANCO DO NORDESTE DO BRASIL SA","2012",0,0,0
"183",29,"BANCO DO NORDESTE DO BRASIL SA","2011",0,8.75,0
"184",29,"BANCO DO NORDESTE DO BRASIL SA","2010",0,0,0
"185",30,"INDS J B DUARTE SA","2017",0,0,0
"186",30,"INDS J B DUARTE SA","2016",0,0,0
"187",30,"INDS J B DUARTE SA","2015",0,0,0
"188",30,"INDS J B DUARTE SA","2014",0,0,0
"189",30,"INDS J B DUARTE SA","2013",0,0,0
"190",30,"INDS J B DUARTE SA","2012",0,0,0
"191",30,"INDS J B DUARTE SA","2011",0,0,0
"192",30,"INDS J B DUARTE SA","2010",0,0,0
"193",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2017",0,32.85,0
"194",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2016",0,24.11,0
"195",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2015",0,24.4,0
"196",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2014",0,6.76,0
"197",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2013",0,25,0
"198",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2012",0,31.93,0
"199",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2011",19.02,52.54,0
"200",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2010",0,0,0
"201",32,"RECRUSUL SA","2017",0,0,0
"202",32,"RECRUSUL SA","2016",0,0,0
"203",32,"RECRUSUL SA","2015",0,0,0
"204",32,"RECRUSUL SA","2014",0,0,0
"205",32,"RECRUSUL SA","2013",0,0,0
"206",32,"RECRUSUL SA","2012",0,0,0
"207",32,"RECRUSUL SA","2011",0,0,0
"208",32,"RECRUSUL SA","2010",0,47.13,0
"209",33,"KLABIN S.A.","2017",0,36.86,0
"210",33,"KLABIN S.A.","2016",0,45.56,0
"211",33,"KLABIN S.A.","2015",0,44.09,0
"212",33,"KLABIN S.A.","2014",0,40.89,0
"213",33,"KLABIN S.A.","2013",0,41.83,0
"214",33,"KLABIN S.A.","2012",0,40.04,0
