"","Código","Companhia","Ano","Dummy"
"199",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2012",0
"200",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2011",0
"201",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2010",0
"202",29,"BANCO DO NORDESTE DO BRASIL SA","2017",0
"203",29,"BANCO DO NORDESTE DO BRASIL SA","2016",0
"204",29,"BANCO DO NORDESTE DO BRASIL SA","2015",0
"205",29,"BANCO DO NORDESTE DO BRASIL SA","2014",0
"206",29,"BANCO DO NORDESTE DO BRASIL SA","2013",0
"207",29,"BANCO DO NORDESTE DO BRASIL SA","2012",0
"208",29,"BANCO DO NORDESTE DO BRASIL SA","2011",0
"209",29,"BANCO DO NORDESTE DO BRASIL SA","2010",0
"210",30,"INDS J B DUARTE SA","2017",0
"211",30,"INDS J B DUARTE SA","2016",0
"212",30,"INDS J B DUARTE SA","2015",0
"213",30,"INDS J B DUARTE SA","2014",0
"214",30,"INDS J B DUARTE SA","2013",0
"215",30,"INDS J B DUARTE SA","2012",0
"216",30,"INDS J B DUARTE SA","2011",0
"217",30,"INDS J B DUARTE SA","2010",0
"218",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2017",0
"219",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2016",0
"220",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2015",0
"221",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2014",0
"222",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2013",0
"223",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2012",0
"224",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2011",0
"225",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2010",0
"226",32,"RECRUSUL SA","2017",0
"227",32,"RECRUSUL SA","2016",0
"228",32,"RECRUSUL SA","2015",0
"229",32,"RECRUSUL SA","2014",0
"230",32,"RECRUSUL SA","2013",0
"231",32,"RECRUSUL SA","2012",0
"232",32,"RECRUSUL SA","2011",0
"233",32,"RECRUSUL SA","2010",0
"234",33,"KLABIN S.A.","2017",0
"235",33,"KLABIN S.A.","2016",0
"236",33,"KLABIN S.A.","2015",0
"237",33,"KLABIN S.A.","2014",0
"238",33,"KLABIN S.A.","2013",0
"239",33,"KLABIN S.A.","2012",0
"240",33,"KLABIN S.A.","2011",0
"241",33,"KLABIN S.A.","2010",0
"242",34,"SANSUY SA INDÚSTRIA  DE PLASTICOS","2017",0
"243",34,"SANSUY SA INDÚSTRIA  DE PLASTICOS","2016",0
"244",34,"SANSUY SA INDÚSTRIA  DE PLASTICOS","2015",0
"245",34,"SANSUY SA INDÚSTRIA  DE PLASTICOS","2014",0
"246",34,"SANSUY SA INDÚSTRIA  DE PLASTICOS","2013",0
"247",34,"SANSUY SA INDÚSTRIA  DE PLASTICOS","2012",0
"248",34,"SANSUY SA INDÚSTRIA  DE PLASTICOS","2011",0
"249",34,"SANSUY SA INDÚSTRIA  DE PLASTICOS","2010",0
"250",35,"FIBRIA CELULOSE S.A.","2017",1
"251",35,"FIBRIA CELULOSE S.A.","2016",1
"252",35,"FIBRIA CELULOSE S.A.","2015",1
"253",35,"FIBRIA CELULOSE S.A.","2014",0
"254",35,"FIBRIA CELULOSE S.A.","2013",0
"255",35,"FIBRIA CELULOSE S.A.","2012",0
"256",35,"FIBRIA CELULOSE S.A.","2011",1
"257",35,"FIBRIA CELULOSE S.A.","2010",1
"258",36,"SIDERURGICA J L ALIPERTI SA","2017",0
