"","Código","Companhia","Ano","NIV","Management.Council","Statutory.Directors","Fiscal.Council","APC","RM","RMRANKIT","POEDIRECTOR","PO","AMDIRECTOR","AM","SIZE"
"103",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2011",0,0,19.49,0,0,2822687.6,199,"",0,"947",1,17.2706919258538
"104",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2010",0,0,50.73,0,0,939644.74,389,"",0,"942",1,17.1071205031123
"105",15,"TELEMAR NORTE LESTE SA","2011",0,0,0,0,0,0,0,"",0,"",0,NA
"106",15,"TELEMAR NORTE LESTE SA","2010",0,0,0,0,0,613690.02,399,"",0,"324",1,18.1348287691831
"107",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2017",0,12.29,5.9,0,0,1045817.03,35,"",1,"776",1,13.34619149435
"108",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2016",0,0,0,0,0,0,0,"",1,"172",1,13.3759942318086
"109",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2015",0,0,0,0,3200,0,0,"",1,"",0,13.2397765668983
"110",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2014",0,0,0,0,3200,0,0,"",1,"",0,13.1644549656493
"111",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2013",0,0,0,0,0,0,0,"",1,"",0,13.2350632936489
"112",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2012",0,0,0,0,0,0,0,"",0,"",0,13.3187735551914
"113",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2011",0,0,0,0,0,0,0,"",0,"",0,13.1220513287222
"114",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2010",0,0,0,0,0,0,0,"",0,"",0,13.0462638850285
"115",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2017",0,11.19,4.9,0,0,673035.34,49,"",0,"697",2,16.9401855434824
"116",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2016",0,12.65,5.06,0,0,656849.7,29,"",0,"697",2,17.0584854925056
"117",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2015",0,10.84,4.91,0,0,601205.49,383,"",0,"355",4,16.7141529089109
"118",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2014",0,7.44,2.94,0,0,568773.32,341,"",0,"355",4,16.5280779412197
"119",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2013",0,8.26,3.07,0,0,511792.1,266,"",0,"355",4,16.4574882619892
"120",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2012",0,0,0,0,0,453387.14,189,"",0,"355",4,16.3347415783608
"121",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2011",0,0,0,0,0,324645.74,31,"",0,"124",2,16.130068786048
"122",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2010",0,0,52.63,0,0,300677.22,435,"",0,"124",2,16.065769929064
"123",18,"UNIPAR CARBOCLORO S.A.","2017",0,0,51.68,0,1448197,5131675.26,170,"40",0,"69",5,15.05862051426
"124",18,"UNIPAR CARBOCLORO S.A.","2016",0,0,45.26,0,4838051,4360767.76,76,"40",0,"69",5,15.0667578069083
"125",18,"UNIPAR CARBOCLORO S.A.","2015",0,0,40.34,0,3324054,4173143.49,44,"40",0,"69",5,14.3253681133032
"126",18,"UNIPAR CARBOCLORO S.A.","2014",0,0,48.46,0,4651597,3626768.91,424,"40",0,"69",5,14.3013696966402
"127",18,"UNIPAR CARBOCLORO S.A.","2013",0,0,0,0,6004094,3377407.78,360,"40",0,"69",5,14.2937408799868
"128",18,"UNIPAR CARBOCLORO S.A.","2012",0,0,0,0,17523071,1519329.68,433,"40",1,"326",1,13.3761788975679
"129",18,"UNIPAR CARBOCLORO S.A.","2011",0,0,0,0,34644500,1523989.12,435,"40",0,"485",2,13.5442213847187
"130",18,"UNIPAR CARBOCLORO S.A.","2010",0,0,13.4,0,72671971,1191570.88,181,"40",0,"485",2,13.6813686933253
"131",19,"BANCO DO ESTADO DO PARÁ S/A.","2017",0,0,13.4,0,0,436500.93,168,"",0,"106",8,0
"132",19,"BANCO DO ESTADO DO PARÁ S/A.","2016",0,0,6.35,0,0,397475.56,122,"",0,"106",8,0
"133",19,"BANCO DO ESTADO DO PARÁ S/A.","2015",0,0,7.43,0,0,775233.19,175,"",0,"106",8,0
